;Установка;;;1 ревизия;;;;;;;;;;;;2 ревизия;;;;;;;;;;;;3 ревизия;;;;;;;;;;;;4 ревизия;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
№ гильзы;Дата ввода ;№ кристаллизатора;№ ручья;Дата установки;Дата вывода;Причина;стойкость, т;Зазор по шаблону;R1;r1;Левый;Правый;Замечания;№ кристаллизатора;№ ручья;Дата установки;Дата вывода;Причина;стойкость, т;Зазор по шаблону;R1;r1;Левый;Правый;Замечания;№ кристаллизатора;№ ручья;Дата установки;Дата вывода;Причина;стойкость, т;Зазор по шаблону;R1;r1;Левый;Правый;Замечания;№ кристаллизатора;№ ручья;Дата установки;Дата вывода;Причина;стойкость, т;Зазор по шаблону;R1;r1;Левый;Правый;Замечания;№ кристаллизатора;№ ручья;Дата установки;Дата вывода;Причина;стойкость, т;Зазор по шаблону;R1;r1;Левый;Правый;Замечания;№ кристаллизатора;№ ручья;Дата установки;Дата вывода;Причина;стойкость, т;Зазор по шаблону;R1;r1;Левый;Правый;Замечания;№ кристаллизатора;№ ручья;Дата установки;Дата вывода;Причина;стойкость, т;Зазор по шаблону;R1;r1;Левый;Правый;Замечания;;;
30014805;16.08.2020;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30013356;27.12.2019;14;3;30.12.2019;04.01.2020;ревизия;3921;"0;5";"0;5";"0;5";"0;5";"0;5";ромб 10;14;6;10.01.2020;15.01.2020;ревизия;8228;"0;5";"0;5";"0;5";"0;5";"0;5";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30014140;29.05.2020;14;4;31.05.2020;02.06.2020;смена сечения;1633;"0;4";"0;4";"0;4";"0;4";"0;4";;14;4;05.06.2020;11.06.2020;ревизия;6210;"0;4";"0;4";"0;4";"0;4";"0;4";;14;1;16.06.2020;21.06.2020;ревизия;10218;"0;4";"0;4";"0;4";"0;4";"0;4";ромб 12;14;2;22.06.2020;21.06.2020;смена сечения;11405;"0;4";"0;4";"0;4";"0;4";"0;4";ромб 14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30014807;28.06.2020;14;2;02.07.2020;06.07.2020;ревизия;3372;"0;4";"0;4";"0;4";"0;4";"0;4";;14;2;09.07.2020;14.07.2020;ревизия;7861;"0;4";"0;4";"0;4";"0;4";"0;4";;14;2;17.07.2020;20.07.2020;ревизия;10347;"0;4";"0;4";"0;4";"0;4";"0;4";;14;2;24.07.2020;26.07.2020;ревизия;11817;"0;4";"0;4";"0;4";"0;4";"0;4";ромб 15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30014824;26.07.2020;14;6;27.07.2020;31.07.2020;ревизия;3336;"0;4";"0;4";"0;4";"0;4";"0;4";;14;5;01.08.2020;04.08.2020;ревизия;6096;"0;4";"0;4";"0;4";"0;4";"0;4";;14;5;05.08.2020;09.08.2020;ревизия;8683;"0;4";"0;4";"0;4";"0;4";"0;4";;14;6;13.08.2020;13.08.2020;ревизия;11375;"0;4";"0;4";"0;4";"0;4";"0;4";;14;5;17.08.2020;18.08.2020;ромб 20;12745;"0;4";"0;4";"0;4";"0;4";"0;4";;;;;;;;;;;;;;;;;;;;;;;;;;;;
30014139;19.08.2020;14;3;20.08.2020;26.08.2020;ревизия;2301;"0;4";"0;4";"0;4";"0;4";"0;4";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30013864;25.12.2019;15;4;26.12.2019;30.12.2019;ревизия;2702;"0;5";"0;5";"0;5";"0;5";"0;5";;15;4;06.01.2020;12.01.2020;ревизия;6880;"0;5";"0;5";"0;5";"0;5";"0;5";;15;4;.01.2020;20.01.2020;смена сечения;9234;"0;5";"0;5";"0;5";"0;5";"0;5";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30013875;19.05.2020;15;1;22.05.2020;25.05.2020;смена сечения;2252;"0;4";"0;4";"0;4";"0;4";"0;4";;15;1;27.05.2020;02.06.2020;смена сечения;7318;"0;4";"0;4";"0;4";"0;4";"0;4";;15;3;08.06.2020;14.06.2020;ревизия;12040;"0;4";"0;4";"0;4";"0;4";"0;4";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83897;15.06.2020;15;4;16.06.2020;22.06.2020;ревизия;4777;"0;4";"0;4";"0;4";"0;4";"0;4";;15;4;26.06.2020;27.06.2020;ромб 25;5376;"0;4";"0;4";"0;4";"0;4";"0;4";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30014803;27.06.2020;15;5;29.06.2020;30.06.2020;прорыв;799;"0;4";"0;4";"0;4";"0;4";"0;4";;15;1;06.07.2020;09.07.2020;ревизия;4657;"0;4";"0;4";"0;4";"0;4";"0;4";;15;1;14.07.2020;17.07.2020;ревизия;6274;"0;4";"0;4";"0;4";"0;4";"0;4";;15;1;20.07.2020;24.07.2020;ревизия;8981;"0;4";"0;4";"0;4";"0;4";"0;4";;15;1;30.07.2020;31.07.2020;ромб 20;9785;"0;4";"0;4";"0;4";"0;4";"0;4";;;;;;;;;;;;;;;;;;;;;;;;;;;;
